label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
2	627 m^2	1.7858	Rat	HUMAN COMPUTER INTERACTION, BIOENGINEERING	0.636	basketball	1233 mph	134	841 m/(s^2)	eriq
3	-851 m^2	1.6718	bird	Computational Media	0.8424	tennis	35 mph	829	1537 m/(s^2)	Reilly
3	-134 m^2	0.7243	chicken	Computer Game Design	-0.7906	tennis	-76 mph	1065	287 m/(s^2)	Reilly
3	520 m^2	-0.405	bird	Computational Media	-1.6511	track & field	710 mph	296	403 m/(s^2)	Tony
6	98 m^2	0.2876	fish	Robotics Engineering	2.3889	football	1021 mph	440	296 m/(s^2)	Vani
5	-49 m^2	1.7872	ferret	Biotechnology	-1.1483	volleyball	-813 mph	1684	-32 m/(s^2)	aNDREW
6	175 m^2	0.3289	fish	Robotics Engineering	0.3648	football	644 mph	-587	10 m/(s^2)	Vani
8	846 m^2	1.0157	pig	Bioinformatics	-0.7007	motor sports	1104 mph	1176	-958 m/(s^2)	Chris
2	-585 m^2	1.4045	rat	Human Computer Interaction	1.0912	basketball	451 mph	-1590	1043 m/(s^2)	Eriq
6	220 m^2	0.7341	fish	Robotics Engineering	0.7267	volleyball	24 mph	-16	-663 m/(s^2)	VANI
8	1103 m^2	0.285	pig	Bioinformatics	-0.7581	motor sports	576 mph	1810	-1034 m/(s^2)	Chris
5	394 m^2	0.4779	ferret	Biotechnology	-0.4076	volleyball	-747 mph	28	-1468 m/(s^2)	Eriq
4	0 m^2	1.0933	guinea pig	Natural Language Processing	-0.0835	badminton	29 mph	-1594	-593 m/(s^2)	Fabrice
4	1229 m^2	1.5038	guinea pig	Natural Language Processing	2.3396	badminton	1038 mph	1394	239 m/(s^2)	Fabrice
8	733 m^2	0.3137	pig	Bioinformatics	-0.3954	motor sports	375 mph	649	786 m/(s^2)	Chris
4	-1308 m^2		guinea pig	Natural Language Processing	0.0771	badminton	1 mph	744	530 m/(s^2)	Fabrice
7	-597 m^2	1.9081	cat	Games and Playable Media	0.3983	track & field	337 mph	94	1678 m/(s^2)	Chris
4	1328 m^2	-0.3218	guinea pig	Natural Language Processing	1.211	badminton	-36 mph	1002	-302 m/(s^2)	Fabrice
